2000  1000 1000
1666  539 1127
1243  414 829
988  420 568
901  494 407
1059  666 393
1332  912 420
1755  1311 444
2450  1725 725
2954  1660 1294
2896  1036 1860
2166  551 1615
1450  396 1054
1044  462 582
1072  661 411
1312  893 419
1592  1021 571
1846  1062 784
1961  1074 887
2053  1125 928
2241  1335 906
2458  1380 1078
2514  1287 1227
2577  1331 1246
2573  1288 1285
2627  1294 1333
2567  1215 1352
2438  1113 1325
2315  1095 1220
2251  1120 1131
2198  1151 1047
2337  1344 993
2520  1470 1050
2844  1734 1110
3281  1929 1352
3514  1893 1621
3598  2061 1537
3692  1997 1695
3543  1704 1839
3202  1263 1939
2716  1060 1656
2391  972 1419
2150  1012 1138
2057  1127 930
2315  1446 869
2792  1799 993
3228  1791 1437
3275  1641 1634
3258  1585 1673
3025  1365 1660
2663  1207 1456
2593  1305 1288
2642  1439 1203
2702  1377 1325
2790  1419 1371
2878  1546 1332
2925  1482 1443
2848  1364 1484
2670  1403 1267
2803  1584 1219
3044  1839 1205
3377  1857 1520
3268  1414 1854
2868  1284 1584
2696  1437 1259
2727  1317 1410
2551  1270 1281
2579  1414 1165
2800  1522 1278
2919  1471 1448
2983  1472 1511
3072  1632 1440
3128  1704 1424
3259  1630 1629
3072  1309 1763
2764  1199 1565
2458  1241 1217
2466  1286 1180
2588  1412 1176
2825  1662 1163
3188  1971 1217
3622  2225 1397
3892  2003 1889
3622  1458 2164
3044  1157 1887
2466  945 1521
2077  906 1171
1980  1033 947
2148  1261 887
2471  1461 1010
2836  1724 1112
3272  2104 1168
3887  2487 1400
4354  2411 1943
4100  1695 2405
3431  1165 2266
2775  1084 1691
2313  993 1320
2144  1053 1091
2127  1140 987
2366  1413 953
2739  1633 1106
3127  1773 1354
3446  2040 1406
3833  2280 1553
4050  1990 2060
3702  1534 2168
3233  1380 1853
2698  1036 1662
2300  1005 1295
2111  1087 1024
2261  1242 1019
2508  1539 969
3064  1987 1077
3672  2158 1514
3995  2189 1806
3949  1862 2087
3554  1453 2101
3063  1277 1786
2759  1258 1501
2602  1337 1265
2706  1597 1109
2896  1581 1315
3148  1824 1324
3502  2064 1438
3747  1837 1910
3481  1553 1928
3009  1161 1848
2560  1178 1382
2492  1347 1145
2736  1678 1058
3168  1832 1336
3445  1851 1594
3615  2010 1605
3730  1889 1841
3628  1718 1910
3210  1386 1824
2827  1273 1554
2670  1400 1270
2861  1686 1175
3272  1963 1309
3625  2021 1604
3742  1824 1918
3500  1524 1976
3080  1249 1831
2654  1149 1505
2419  1167 1252
2382  1286 1096
2561  1434 1127
2906  1831 1075
3492  2271 1221
4092  2452 1640
4383  2139 2244
3988  1656 2332
3326  1192 2134
2690  1022 1668
2236  992 1244
2227  1194 1033
2544  1608 936
3079  1930 1149
3512  2003 1509
3648  1847 1801
3572  1679 1893
3336  1556 1780
3247  1696 1551
3326  1718 1608
